,country,food_category,consumption,co2_emmission,Continent
441,Maldives,Poultry,14.629999999999999,14.875,Asia
442,Maldives,Protein Foods,8.015,14.055,Asia
443,Maldives,Red Meat,3.7866666666666666,106.71,Asia
444,Malta,Fish,24.58,39.25,Europe
445,Malta,Grains,72.27000000000001,16.485,Europe
446,Malta,Milk and Wheat Products,190.06,270.72,Europe
447,Malta,Poultry,19.02,19.525,Europe
448,Malta,Protein Foods,2.8349999999999995,4.984999999999999,Europe
449,Malta,Red Meat,18.216666666666665,251.98333333333335,Europe
450,Mauritius,Fish,19.66,31.39,Africa
451,Mauritius,Grains,79.78999999999999,40.019999999999996,Africa
452,Mauritius,Milk and Wheat Products,117.27,167.04,Africa
453,Mauritius,Poultry,22.415,23.59,Africa
454,Mauritius,Protein Foods,1.315,2.1299999999999994,Africa
455,Mauritius,Red Meat,4.716666666666667,114.05333333333334,Africa
456,Mexico,Fish,7.56,12.07,North America
457,Mexico,Grains,20.425,6.965,North America
458,Mexico,Milk and Wheat Products,111.87,159.35000000000002,North America
459,Mexico,Poultry,24.23,24.599999999999998,North America
460,Mexico,Protein Foods,1.265,2.225,North America
461,Mexico,Red Meat,10.483333333333333,186.04333333333332,North America
462,Morocco,Fish,17.439999999999998,27.85,Africa
463,Morocco,Grains,90.39999999999999,17.84,Africa
464,Morocco,Milk and Wheat Products,54.68,77.89,Africa
465,Morocco,Poultry,13.725,14.225,Africa
466,Morocco,Protein Foods,1.615,2.86,Africa
467,Morocco,Red Meat,4.136666666666666,133.60999999999999,Africa
468,Mozambique,Fish,7.74,12.36,Africa
469,Mozambique,Grains,19.03,16.375,Africa
470,Mozambique,Milk and Wheat Products,4.79,6.819999999999999,Africa
471,Mozambique,Poultry,1.555,1.5350000000000001,Africa
472,Mozambique,Protein Foods,1.3199999999999998,2.3149999999999995,Africa
473,Mozambique,Red Meat,2.356666666666667,27.256666666666664,Africa
474,Myanmar,Fish,54.260000000000005,86.64,Asia
475,Myanmar,Grains,69.51,85.565,Asia
476,Myanmar,Milk and Wheat Products,31.48,44.84,Asia
477,Myanmar,Poultry,14.16,14.704999999999998,Asia
478,Myanmar,Protein Foods,2.44,4.07,Asia
479,Myanmar,Red Meat,5.713333333333334,74.54666666666667,Asia
480,Namibia,Fish,10.7,17.08,Africa
481,Namibia,Grains,21.285000000000004,7.49,Africa
482,Namibia,Milk and Wheat Products,73.05,104.05,Africa
483,Namibia,Poultry,6.91,7.295,Africa
484,Namibia,Protein Foods,0.39,0.645,Africa
485,Namibia,Red Meat,3.41,70.04,Africa
486,Nepal,Fish,2.17,3.46,Asia
487,Nepal,Grains,69.105,60.955000000000005,Asia
488,Nepal,Milk and Wheat Products,52.1,74.21000000000001,Asia
489,Nepal,Poultry,1.49,1.4900000000000002,Asia
490,Nepal,Protein Foods,1.2149999999999999,2.14,Asia
491,Nepal,Red Meat,3.5533333333333332,106.46,Asia
492,Netherlands,Fish,18.64,29.76,Europe
493,Netherlands,Grains,36.55,8.565000000000001,Europe
494,Netherlands,Milk and Wheat Products,341.47,486.39,Europe
495,Netherlands,Poultry,18.965,19.28,Europe
496,Netherlands,Protein Foods,4.03,7.050000000000001,Europe
497,Netherlands,Red Meat,18.323333333333334,235.62666666666667,Europe
498,New Caledonia,Fish,19.38,30.94,Oceania
499,New Caledonia,Grains,49.61,18.975,Oceania
500,New Caledonia,Milk and Wheat Products,108.0,153.84,Oceania
